code;level;classificationItemName;
"'020'";1;"Akaa";
"'005'";1;"Alajärvi";
"'009'";1;"Alavieska";
"'010'";1;"Alavus";
"'016'";1;"Asikkala";
"'018'";1;"Askola";
"'019'";1;"Aura";
"'035'";1;"Brändö";
"'043'";1;"Eckerö";
"'046'";1;"Enonkoski";
"'047'";1;"Enontekiö";
"'049'";1;"Espoo";
"'050'";1;"Eura";
"'051'";1;"Eurajoki";
"'052'";1;"Evijärvi";
"'060'";1;"Finström";
"'061'";1;"Forssa";
"'062'";1;"Föglö";
"'065'";1;"Geta";
"'069'";1;"Haapajärvi";
"'071'";1;"Haapavesi";
"'072'";1;"Hailuoto";
"'074'";1;"Halsua";
"'075'";1;"Hamina";
"'076'";1;"Hammarland";
"'077'";1;"Hankasalmi";
"'078'";1;"Hanko";
"'079'";1;"Harjavalta";
"'081'";1;"Hartola";
"'082'";1;"Hattula";
"'086'";1;"Hausjärvi";
"'111'";1;"Heinola";
"'090'";1;"Heinävesi";
"'091'";1;"Helsinki";
"'097'";1;"Hirvensalmi";
"'098'";1;"Hollola";
"'102'";1;"Huittinen";
"'103'";1;"Humppila";
"'105'";1;"Hyrynsalmi";
"'106'";1;"Hyvinkää";
"'108'";1;"Hämeenkyrö";
"'109'";1;"Hämeenlinna";
"'139'";1;"Ii";
"'140'";1;"Iisalmi";
"'142'";1;"Iitti";
"'143'";1;"Ikaalinen";
"'145'";1;"Ilmajoki";
"'146'";1;"Ilomantsi";
"'153'";1;"Imatra";
"'148'";1;"Inari";
"'149'";1;"Inkoo";
"'151'";1;"Isojoki";
"'152'";1;"Isokyrö";
"'165'";1;"Janakkala";
"'167'";1;"Joensuu";
"'169'";1;"Jokioinen";
"'170'";1;"Jomala";
"'171'";1;"Joroinen";
"'172'";1;"Joutsa";
"'176'";1;"Juuka";
"'177'";1;"Juupajoki";
"'178'";1;"Juva";
"'179'";1;"Jyväskylä";
"'181'";1;"Jämijärvi";
"'182'";1;"Jämsä";
"'186'";1;"Järvenpää";
"'202'";1;"Kaarina";
"'204'";1;"Kaavi";
"'205'";1;"Kajaani";
"'208'";1;"Kalajoki";
"'211'";1;"Kangasala";
"'213'";1;"Kangasniemi";
"'214'";1;"Kankaanpää";
"'216'";1;"Kannonkoski";
"'217'";1;"Kannus";
"'218'";1;"Karijoki";
"'224'";1;"Karkkila";
"'226'";1;"Karstula";
"'230'";1;"Karvia";
"'231'";1;"Kaskinen";
"'232'";1;"Kauhajoki";
"'233'";1;"Kauhava";
"'235'";1;"Kauniainen";
"'236'";1;"Kaustinen";
"'239'";1;"Keitele";
"'240'";1;"Kemi";
"'320'";1;"Kemijärvi";
"'241'";1;"Keminmaa";
"'322'";1;"Kemiönsaari";
"'244'";1;"Kempele";
"'245'";1;"Kerava";
"'249'";1;"Keuruu";
"'250'";1;"Kihniö";
"'256'";1;"Kinnula";
"'257'";1;"Kirkkonummi";
"'260'";1;"Kitee";
"'261'";1;"Kittilä";
"'263'";1;"Kiuruvesi";
"'265'";1;"Kivijärvi";
"'271'";1;"Kokemäki";
"'272'";1;"Kokkola";
"'273'";1;"Kolari";
"'275'";1;"Konnevesi";
"'276'";1;"Kontiolahti";
"'280'";1;"Korsnäs";
"'284'";1;"Koski Tl";
"'285'";1;"Kotka";
"'286'";1;"Kouvola";
"'287'";1;"Kristiinankaupunki";
"'288'";1;"Kruunupyy";
"'290'";1;"Kuhmo";
"'291'";1;"Kuhmoinen";
"'295'";1;"Kumlinge";
"'297'";1;"Kuopio";
"'300'";1;"Kuortane";
"'301'";1;"Kurikka";
"'304'";1;"Kustavi";
"'305'";1;"Kuusamo";
"'312'";1;"Kyyjärvi";
"'316'";1;"Kärkölä";
"'317'";1;"Kärsämäki";
"'318'";1;"Kökar";
"'398'";1;"Lahti";
"'399'";1;"Laihia";
"'400'";1;"Laitila";
"'407'";1;"Lapinjärvi";
"'402'";1;"Lapinlahti";
"'403'";1;"Lappajärvi";
"'405'";1;"Lappeenranta";
